Date,Open,High,Low,Close,Adj Close,Volume
03-02-2020,1369.900024,1399.949951,1363.050049,1385.5,1385.5,14040626
04-02-2020,1400,1432.5,1397.800049,1426.400024,1426.400024,11604666
05-02-2020,1434.900024,1452.800049,1430.300049,1448.5,1448.5,8444823
06-02-2020,1454.099976,1467,1440.099976,1457.800049,1457.800049,7103715
07-02-2020,1451,1452.349976,1428.300049,1433.650024,1433.650024,5581641
10-02-2020,1428,1445.5,1410.449951,1435.599976,1435.599976,6922631
11-02-2020,1447.400024,1466.199951,1445.050049,1452.75,1452.75,6400245
12-02-2020,1456.150024,1474.849976,1455,1470.300049,1470.300049,6187091
13-02-2020,1477.75,1477.75,1462.599976,1474.150024,1474.150024,6201763
14-02-2020,1477.25,1501.449951,1453.099976,1487.599976,1487.599976,9704655
17-02-2020,1489,1506.150024,1474.300049,1478.25,1478.25,6011340
18-02-2020,1475.900024,1475.900024,1457.400024,1467.400024,1467.400024,5086964
19-02-2020,1479.349976,1506.449951,1475.099976,1503.800049,1503.800049,6438918
20-02-2020,1497,1508,1483.800049,1485.949951,1485.949951,7722577
24-02-2020,1469.75,1477,1439.550049,1444.949951,1444.949951,9769743
25-02-2020,1451.400024,1451.400024,1410,1416.400024,1416.400024,12684109
26-02-2020,1410,1412.349976,1387.349976,1392,1392,13423661
27-02-2020,1388,1393.800049,1369,1386.25,1386.25,11454300
28-02-2020,1354.900024,1357,1325,1328.650024,1328.650024,17973847
02-03-2020,1355.099976,1369,1301.099976,1316.150024,1316.150024,13486634
03-03-2020,1329.699951,1353.900024,1322,1342.849976,1342.849976,12525809
04-03-2020,1352,1353.800049,1307.900024,1339.699951,1339.699951,10105782
05-03-2020,1352.199951,1357.949951,1306,1311.150024,1311.150024,13948324
06-03-2020,1270,1288.150024,1241.099976,1271,1271,15422068
09-03-2020,1240.050049,1241,1095,1114.150024,1114.150024,40316138
11-03-2020,1108,1178.449951,1108,1153.550049,1153.550049,27237321
12-03-2020,1085,1101,1048.699951,1063,1063,25587823
13-03-2020,998,1140,942.400024,1105.300049,1105.300049,33509107
16-03-2020,1060.550049,1079.699951,1005,1015.700012,1015.700012,17592794
17-03-2020,1047.25,1060,1003.200012,1008,1008,20776373
18-03-2020,1025.300049,1035.900024,961,968.5,968.5,20449241
19-03-2020,920.099976,967,892.200012,917.700012,917.700012,28071848
20-03-2020,939.5,1034.900024,930,1017.950012,1017.950012,28966278
23-03-2020,916.200012,950,875.650024,884.049988,884.049988,18593390
24-03-2020,930,970,895.799988,943.400024,943.400024,20908452
25-03-2020,963.799988,1151.550049,963.25,1082.25,1082.25,33432712
