Date,Open,High,Low,Close,Adj Close,Volume
25-03-2015,164.600006,165.399994,160.800003,161.300003,134.890427,14640920
26-03-2015,160.199997,164.600006,158.410004,161.270004,134.865326,42225610
27-03-2015,162.559998,164.399994,156.639999,163.199997,136.479324,28115590
30-03-2015,163.869995,165.539993,163,164.589996,137.641739,12687060
31-03-2015,165.539993,166.779999,162.160004,163.149994,136.437515,14274760
01-04-2015,162.440002,170.199997,161.619995,169.550003,141.789642,14082540
06-04-2015,170.009995,171.559998,168.199997,169.179993,141.480209,11597585
07-04-2015,170.5,170.5,167.089996,168.160004,140.627228,13655825
08-04-2015,168.759995,168.759995,163.800003,164.119995,137.248688,19859170
09-04-2015,165.199997,168.759995,164.369995,168.339996,140.777771,19811865
10-04-2015,169.289993,170.080002,167.610001,168.520004,140.928284,11584115
13-04-2015,168.779999,169.360001,167.130005,168.339996,140.777771,9860795
15-04-2015,168.860001,172.800003,167.199997,169.130005,141.438431,17151840
16-04-2015,169.729996,170.919998,167.080002,170.160004,142.299774,12454880
17-04-2015,170.070007,170.070007,161.240005,161.880005,135.375443,20015130
20-04-2015,162.580002,163.139999,155.009995,157.580002,131.779495,22838400
21-04-2015,156.529999,160.600006,154.360001,156.75,131.085373,17859615
22-04-2015,158,160.320007,155.240005,159.210007,133.142609,34472565
23-04-2015,161,171,160.979996,170.259995,142.383377,66203965
24-04-2015,170.800003,170.940002,164.100006,164.789993,137.80899,25613130
27-04-2015,165.559998,166.039993,160.770004,162.220001,135.659775,15325245
28-04-2015,161.759995,166.360001,161.100006,165.289993,138.227112,24754225
29-04-2015,164.800003,168.979996,164,166.910004,139.581894,16815610
30-04-2015,166.320007,169.759995,165.389999,167.889999,140.401428,32475555
04-05-2015,169.399994,171.839996,168,170.779999,142.818253,10958590
05-05-2015,170.399994,173.110001,169.839996,171.490005,143.412003,11601860
06-05-2015,170,170.800003,163.399994,164.210007,137.323959,15416255
07-05-2015,163.960007,163.960007,157.639999,159.679993,133.53566,16180565
08-05-2015,161.300003,165.899994,160.690002,165.220001,138.168594,17101355
11-05-2015,166.399994,169.679993,165.399994,168.869995,141.220978,10048910
12-05-2015,168.699997,168.699997,163.800003,164.529999,137.591568,11975115
13-05-2015,165.199997,169.949997,165.119995,168.149994,140.618866,19426025
14-05-2015,167.880005,169,165.279999,167.759995,140.292709,15087310
15-05-2015,168.880005,172.860001,168.320007,169.910004,142.090698,17026980
18-05-2015,170.740005,173.759995,170.410004,172.910004,144.599518,11991900
19-05-2015,172.800003,175.550003,171.600006,172.809998,144.515869,17563885
20-05-2015,173.339996,175.800003,173.199997,174.960007,146.313873,11868010
21-05-2015,173.990005,174.199997,170.580002,172.160004,151.779938,9573470
22-05-2015,172.759995,174.5,172.240005,173.369995,152.84668,9091245
25-05-2015,173.399994,173.649994,170.110001,170.539993,150.3517,6228425
26-05-2015,171.240005,172.899994,169.050003,172.149994,151.771103,8637040
27-05-2015,169.600006,174.800003,169.600006,174.179993,153.560791,9011875
28-05-2015,174.339996,175.179993,171.220001,171.809998,151.471329,15283635
29-05-2015,172.139999,176.869995,172.139999,176.460007,155.570892,10859570
01-06-2015,176.979996,179.5,175.619995,175.910004,155.086014,12704125
02-06-2015,176.589996,176.610001,168.270004,169.139999,149.117416,16620215
03-06-2015,168.600006,168.740005,165,165.880005,146.243347,21569610
04-06-2015,167,167.179993,164.050003,165.429993,145.846603,16055485
05-06-2015,165.399994,168.199997,163.630005,164.679993,145.185394,13471950
08-06-2015,166,166.100006,163.110001,164.520004,145.044342,10556045
09-06-2015,164.580002,167.100006,163.639999,164.639999,145.150116,11576335
10-06-2015,164.600006,167.279999,164.600006,166.690002,146.957458,8792205
11-06-2015,168,168.690002,160.399994,160.919998,141.870499,15458335
12-06-2015,159.779999,162.169998,158.800003,161.089996,142.020355,15189245
15-06-2015,162.380005,163,159.610001,160.710007,141.685349,9629465
16-06-2015,160.800003,163.800003,159.220001,163.100006,143.79245,10452720
17-06-2015,164,164.740005,162.320007,163.419998,144.074554,10595150
18-06-2015,162.100006,165.679993,161.429993,164.929993,145.405792,15115310
19-06-2015,165.199997,166.949997,164.399994,165.979996,146.331497,9672370
22-06-2015,167.160004,172.800003,167.020004,171.880005,151.533066,16062505
23-06-2015,172.179993,173.960007,171.160004,173.279999,152.767334,12920395
24-06-2015,172.199997,174.759995,170.5,172.009995,151.647675,9633250
25-06-2015,171.479996,173,169.600006,171.729996,151.400833,9546750
26-06-2015,170.399994,171.119995,167.919998,170.149994,150.007858,8739610
29-06-2015,166.600006,168,164.800003,167.509995,147.680374,13008910
30-06-2015,167.800003,169.199997,166.809998,168.770004,148.791229,10901255
01-07-2015,168.779999,174.300003,168.330002,173.410004,152.881927,10008360
02-07-2015,173.600006,175.600006,173.399994,173.940002,153.349213,12745860
03-07-2015,173.960007,174.910004,172.440002,174.270004,153.640167,5434175
06-07-2015,171.940002,174.139999,171,173.910004,153.322769,9839550
07-07-2015,174,175.580002,171.25,172.399994,151.991516,8516965
08-07-2015,170,170.529999,158.440002,159.5,140.618591,51260720
09-07-2015,161.800003,164,159,159.960007,141.024139,30729465
10-07-2015,161.589996,162.869995,160.800003,161.970001,142.796204,12458255
13-07-2015,163,164.020004,157.600006,162.899994,143.616119,23861560
14-07-2015,163,164.380005,161.199997,162.399994,143.175293,13142700
15-07-2015,162.339996,163,160.199997,160.860001,141.817612,13717715
16-07-2015,161.600006,167.139999,160.960007,166.070007,146.410843,28100665
17-07-2015,164.199997,167.199997,162.399994,164.910004,145.388168,21185955
20-07-2015,165.179993,165.399994,162.800003,163.589996,144.224426,10734130
21-07-2015,164,164.509995,161.009995,161.529999,142.408295,7971710
22-07-2015,161.399994,164.979996,160.220001,164.619995,145.132477,13214535
23-07-2015,164.399994,166.399994,163.009995,164.070007,144.647614,9892340
24-07-2015,164.199997,165.5,161.199997,161.630005,142.496445,12759565
27-07-2015,161.600006,161.869995,156.449997,157.059998,138.467438,16092860
28-07-2015,157.589996,159.990005,156.820007,158.990005,140.168991,10796865
29-07-2015,160.380005,164.199997,159.199997,163.220001,143.898239,32223395
30-07-2015,164.399994,165.179993,161.759995,162.5,143.263443,19520480
31-07-2015,163.580002,168.160004,162.820007,165.789993,146.164001,21541175
03-08-2015,166.990005,168.179993,164.850006,166.649994,146.92218,19091075
04-08-2015,166.300003,168.699997,165.009995,168.330002,148.403305,18714140
05-08-2015,168.800003,169.289993,165.839996,166.119995,146.454926,6614900
06-08-2015,166.600006,167.279999,165,165.520004,145.925949,7253480
07-08-2015,165.600006,165.940002,163.869995,164.289993,144.841568,6664450
10-08-2015,164.800003,166.860001,162.419998,163.350006,144.012833,11091580
11-08-2015,164,164.600006,159.399994,159.729996,140.821381,12570600
12-08-2015,158.960007,159,153.339996,154,135.769684,15414625
13-08-2015,156,157,151.440002,152.429993,134.385513,17850695
14-08-2015,153.199997,159.759995,153,159.360001,140.495178,18962485
17-08-2015,159.389999,160.5,156.679993,158.119995,139.401947,7442630
18-08-2015,158.990005,160,156.350006,157.199997,138.590866,9974165
19-08-2015,157.600006,157.919998,154.309998,154.850006,136.519058,8477175
20-08-2015,154.800003,155.160004,140.660004,144.009995,126.962273,34706850
21-08-2015,141.789993,141.800003,135.860001,138.429993,122.042831,47775905
24-08-2015,132.600006,132.600006,119,125.940002,111.031387,49036520
25-08-2015,129.600006,136.990005,127.5,136.139999,120.023918,35878850
26-08-2015,136.139999,139,132.559998,136.330002,120.191429,28419915
27-08-2015,140.940002,141,133.720001,137.520004,121.24057,30871450
28-08-2015,139.970001,140.360001,131.759995,135.339996,119.318611,29301755
31-08-2015,135.389999,138.850006,134.199997,137.889999,121.566757,14909355
01-09-2015,135.979996,135.979996,130.559998,133.279999,117.502487,20935610
02-09-2015,135,135.440002,130.460007,131.850006,116.241776,18930000
03-09-2015,133.199997,135.279999,132.160004,134.339996,118.436996,15062695
04-09-2015,133,133.600006,127,129.440002,114.117058,18705090
07-09-2015,129.800003,131.25,128.220001,130.139999,114.734192,13447880
08-09-2015,131.279999,140.179993,130.639999,139.369995,122.871552,34189085
09-09-2015,143.550003,144.779999,142,143.309998,126.345154,30508645
10-09-2015,139,143.940002,138.199997,142.600006,125.7192,17735250
11-09-2015,143.940002,145.270004,140.869995,142.190002,125.357735,15170375
14-09-2015,142,146.820007,141.259995,146.330002,129.007629,16565705
15-09-2015,146.539993,148.25,145.070007,145.589996,128.35524,16110920
16-09-2015,147,152.080002,147,151.690002,133.733139,27152445
18-09-2015,154.600006,155.800003,152.720001,154.330002,136.060623,26829095
21-09-2015,151.929993,154.559998,151.179993,153.440002,135.27597,16264740
22-09-2015,154.399994,154.759995,144.600006,146.649994,129.289749,19125910
23-09-2015,144.600006,148.779999,142.850006,147.649994,130.171387,28532335
24-09-2015,147.539993,148.699997,143.720001,144.179993,127.112144,18338545
28-09-2015,144,148.300003,144,145.979996,128.699081,17370665
29-09-2015,144.020004,149.800003,140.550003,147.720001,130.233078,38504095
30-09-2015,148.860001,150.869995,144.660004,145.940002,128.663803,21025405
01-10-2015,147.800003,147.880005,143,145.720001,128.469849,18723595
05-10-2015,146.550003,150.600006,146.550003,150.050003,132.287262,16198610
06-10-2015,150.479996,151.320007,147.380005,148.619995,131.026566,13222105
07-10-2015,148.619995,149.130005,146.720001,147.149994,129.730591,12428940
08-10-2015,146.600006,147.100006,144.089996,145.470001,128.249466,13806750
09-10-2015,146.660004,148.380005,144.020004,145.130005,127.949692,13380905
12-10-2015,145.860001,147.300003,144.119995,144.75,127.614685,11647585
13-10-2015,145.179993,147.220001,144.800003,146.759995,129.386734,15112280
14-10-2015,146.600006,148.520004,146,147.740005,130.250732,9671405
15-10-2015,148.399994,152.220001,148.399994,151.830002,133.856567,19755775
16-10-2015,152,154.940002,150.449997,154.710007,136.39563,16218250
19-10-2015,154.570007,155.190002,153.220001,154.089996,135.84903,9387355
20-10-2015,154.179993,155.740005,152.270004,154.020004,135.787323,13621220
21-10-2015,154,155.080002,151.399994,153.059998,134.940933,9432540
23-10-2015,154.520004,156,152.800003,154.229996,135.972458,12371450
26-10-2015,154.800003,155.199997,148.720001,149.240005,131.573166,11315700
27-10-2015,149.199997,151.259995,148.399994,150.259995,132.472397,13654945
28-10-2015,148.199997,149.690002,143.360001,145.529999,128.302338,20105845
29-10-2015,145.979996,149.520004,141.550003,148.720001,131.114731,59974035
30-10-2015,149.979996,153.130005,148.800003,151.729996,133.768402,20048755
02-11-2015,151.039993,154.699997,150.479996,154.399994,136.12233,13308240
03-11-2015,155.080002,156.300003,153.300003,155.860001,137.4095,15156160
04-11-2015,156.800003,158,156.039993,156.75,138.194122,12395670
05-11-2015,156,156.100006,151.820007,152.399994,134.359085,12105005
06-11-2015,152.440002,154.740005,150,151.690002,133.733139,12841760
09-11-2015,148.800003,153.639999,147.059998,152.389999,134.350281,19696955
10-11-2015,151.029999,153.300003,147.419998,147.929993,130.418228,11980700
13-11-2015,150.699997,151.5,146.699997,147.619995,130.144928,19647750
16-11-2015,147.199997,150.600006,147.020004,150.190002,132.41069,12772960
17-11-2015,151.279999,151.479996,147.399994,149.130005,131.476196,15427460
18-11-2015,149.130005,150.199997,144.039993,144.610001,127.491264,13495465
19-11-2015,145.699997,146.979996,144.820007,146.679993,129.316208,16618620
20-11-2015,146.669998,148.320007,145.020004,146.240005,128.928299,13068955
23-11-2015,146.800003,148.949997,146.419998,148.130005,130.594559,11223220
24-11-2015,148,149.639999,147.580002,148.830002,131.211685,12498670
26-11-2015,149.389999,150.800003,149.039993,149.960007,132.207932,14841055
27-11-2015,150.199997,153.940002,149.770004,152.539993,134.482498,12464520
30-11-2015,152.399994,154.199997,152.399994,153.399994,135.240707,11087220
01-12-2015,154,154.399994,151.740005,152.039993,134.041687,10485970
02-12-2015,152.440002,152.740005,149.600006,150.130005,132.357834,9236230
03-12-2015,149,151.779999,149,150.410004,132.604675,10662525
04-12-2015,149,150.240005,147.710007,148,130.47995,8180645
07-12-2015,148.979996,149.179993,146.5,146.979996,129.580688,7792800
08-12-2015,146.199997,147,144.720001,145.149994,127.967323,7330215
09-12-2015,145,146.979996,142.690002,143.339996,126.37159,10317275
10-12-2015,143.979996,144.360001,140.460007,141.419998,124.678879,16252330
11-12-2015,141.800003,142.740005,134.449997,136.119995,120.006287,28722100
14-12-2015,135.820007,137.800003,133.600006,136.649994,120.473541,17360285
15-12-2015,137.600006,138.839996,135.149994,138.270004,121.901779,13407435
16-12-2015,139.399994,142.119995,138.850006,139.710007,123.17131,18151740
17-12-2015,141.600006,144.75,141.139999,144.220001,127.147423,18659360
18-12-2015,143.580002,145.490005,142.720001,143.740005,126.724258,16685490
21-12-2015,143.399994,145.300003,143.380005,143.770004,126.750694,9460115
22-12-2015,143.990005,145.559998,142.399994,142.789993,125.886688,8068060
23-12-2015,143.600006,145.199997,143.600006,144.949997,127.791008,8680400
24-12-2015,145.229996,145.880005,144.020004,144.869995,127.720474,6064000
28-12-2015,145.179993,147.220001,145.039993,146.589996,129.236862,8447475
29-12-2015,146.889999,147.190002,145.600006,146.289993,128.972382,7058305
30-12-2015,146.759995,147.380005,146.020004,146.850006,129.466095,6045445
31-12-2015,146.820007,147.300003,144.679993,145.160004,127.976151,6457360
01-01-2016,145.529999,147.100006,144.550003,146.490005,129.148712,4988895
04-01-2016,145.979996,145.979996,140.220001,141.149994,124.440834,12693585
05-01-2016,141.800003,142.619995,139.679993,141.539993,124.784668,10345630
06-01-2016,142.389999,143.380005,140.300003,140.770004,124.105843,8329590
07-01-2016,138.580002,138.580002,135.139999,135.770004,119.697723,12052960
08-01-2016,137,139.800003,136.669998,138.740005,122.316139,12796475
11-01-2016,137,140.929993,135.25,138.899994,122.457191,14801465
12-01-2016,139.509995,139.889999,133.679993,134.589996,118.65741,15401165
13-01-2016,136.300003,137.970001,132.020004,136.539993,120.376564,24823865
14-01-2016,134.589996,135.729996,132.399994,134.839996,118.877808,17869410
15-01-2016,136,136.720001,132.020004,132.740005,117.026405,18152225
18-01-2016,132.199997,134.009995,130.339996,131.199997,115.668716,18905815
19-01-2016,132.600006,137.300003,131.5,136.25,120.120903,24393180
20-01-2016,134.779999,135.160004,126.309998,129.25,113.949547,26445660
21-01-2016,131.009995,134.600006,129.490005,130.860001,115.368973,20534760
22-01-2016,133.399994,137.940002,132.350006,136.800003,120.605797,16567570
25-01-2016,138.380005,139.020004,134.699997,135.5,119.459686,9817820
27-01-2016,136.020004,136.960007,133,135.610001,119.556679,10075060
28-01-2016,135.970001,137.279999,133.529999,134.309998,118.410553,16022000
29-01-2016,132.600006,149.899994,130.229996,149.360001,131.678955,87063495
01-02-2016,150.880005,155.160004,148.899994,154.479996,136.192856,55294340
02-02-2016,154.479996,157,152.080002,152.860001,134.764618,32985285
03-02-2016,150.270004,157.800003,150.009995,155.539993,137.12735,29323850
04-02-2016,156.940002,157.589996,150.850006,151.869995,133.891815,29722165
05-02-2016,151.839996,155.979996,151.839996,155.410004,137.012756,15978405
08-02-2016,155.039993,157.899994,153,153.669998,135.478714,16112350
09-02-2016,151.710007,153.779999,148.300003,149.369995,131.687759,19050925
10-02-2016,148.419998,149.350006,145.520004,147.070007,129.660049,21933695
11-02-2016,147,147.960007,141.919998,142.889999,125.974869,15571410
12-02-2016,144,146.589996,138.440002,145.690002,128.44342,22277665
15-02-2016,147.039993,152.360001,147.029999,150.679993,132.842667,18884615
16-02-2016,151.690002,151.860001,146.199997,146.770004,129.395554,16563985
17-02-2016,146.580002,146.580002,140.240005,144.070007,127.015182,26398540
18-02-2016,145.600006,147.179993,141.279999,142.850006,125.939598,16055755
19-02-2016,142.199997,144.720001,141.710007,142.509995,125.639862,11826110
22-02-2016,143.199997,144.100006,141.839996,142.550003,125.67511,8648975
23-02-2016,142.5,143.449997,136.240005,137.270004,121.020149,21500155
24-02-2016,136.770004,140.75,134.410004,138.130005,121.778351,20841410
25-02-2016,138.960007,139.009995,133.320007,134.100006,118.225418,22305795
26-02-2016,136.460007,138.399994,133.779999,137.309998,121.055428,20627085
29-02-2016,137.589996,140.800003,132.669998,137.800003,121.487419,24929325
01-03-2016,139.360001,144.360001,138.190002,143.880005,126.847672,20408715
02-03-2016,146.199997,152.350006,146.100006,151.050003,133.168915,26665300
03-03-2016,151.800003,152,148.220001,151.529999,133.592072,20116495
04-03-2016,151.199997,153.899994,149.050003,151.809998,133.838928,19092795
08-03-2016,153.800003,153.910004,150.320007,151.910004,133.927094,21291635
09-03-2016,151,158.679993,150.259995,158.119995,139.401947,30298510
10-03-2016,158.800003,160.190002,156.899994,158.279999,139.54303,18269590
11-03-2016,157.399994,160.960007,157.119995,160.119995,141.165192,20752680
14-03-2016,161,162,159.399994,160.399994,141.412048,12531405
15-03-2016,160.199997,163.399994,159.410004,162.190002,142.990158,18064305
16-03-2016,161.399994,163.100006,159.100006,160.880005,141.83522,16745200
17-03-2016,162.220001,163.759995,158.600006,159.910004,140.980057,15460550
18-03-2016,160.199997,163.5,159.149994,162.850006,143.572021,13220715
21-03-2016,163.600006,166.899994,162.550003,166.369995,146.675323,17150930
22-03-2016,166.199997,167.550003,164.529999,166.440002,146.737045,13091505
23-03-2016,166,170.369995,165.289993,169.850006,149.743393,20967780
28-03-2016,168.630005,171.979996,167.100006,168.449997,148.509094,17251110
29-03-2016,168.199997,170.880005,167.199997,169.270004,149.23204,9845555
30-03-2016,170.699997,174,169.710007,173.259995,152.749695,13545105
31-03-2016,172.5,175,171.710007,173.009995,152.529297,31232455
01-04-2016,172.600006,173.100006,170.479996,171.119995,150.863022,14136725
04-04-2016,171.179993,173.979996,171,173.589996,153.040634,16196910
05-04-2016,172,173.020004,165.300003,165.839996,146.208069,22500685
06-04-2016,167,168.429993,165.649994,166.809998,147.063263,16484090
07-04-2016,167.789993,168.800003,166.199997,167.100006,147.318924,9215225
08-04-2016,167.399994,170.699997,166.639999,169.880005,149.769836,11833340
11-04-2016,170.600006,172.490005,169.570007,171.929993,151.577148,9609845
12-04-2016,171.960007,173.660004,170.639999,171.860001,151.515427,8861115
13-04-2016,173.419998,175,173.149994,174.029999,153.428558,8343925
18-04-2016,172.399994,179.399994,172.220001,178.710007,157.55455,19491185
20-04-2016,178.940002,178.940002,175.399994,176.380005,155.500366,15352350
21-04-2016,177.679993,179.649994,175.320007,176.270004,155.403381,14804655
22-04-2016,176,177.580002,174.529999,175.149994,154.41597,9580800
25-04-2016,175.419998,177.100006,174.229996,175.729996,154.927292,7570435
26-04-2016,176,182.960007,175.119995,182.139999,160.578506,16571225
27-04-2016,183,184.600006,179.600006,183.100006,161.424866,51044735
28-04-2016,183.270004,190.339996,183.199997,189.110001,166.723419,66735715
29-04-2016,189.600006,190.490005,185.740005,188.589996,166.264969,21534815
02-05-2016,189.580002,191.520004,188.300003,188.990005,166.617615,19933955
03-05-2016,189.300003,190.360001,185.600006,186.240005,164.193176,14613445
04-05-2016,186.199997,186.779999,182.880005,183.520004,161.795151,24070805
05-05-2016,183.800003,186.639999,181.130005,182.429993,160.834167,33803715
06-05-2016,181.800003,183.979996,181.179993,182.039993,160.490341,11919815
09-05-2016,182.960007,189.600006,182.679993,189.240005,166.838013,23103750
10-05-2016,189.800003,190.580002,187.619995,189.949997,167.463959,16215080
11-05-2016,187.25,192.479996,185.600006,191.270004,168.627716,22916480
12-05-2016,191.199997,193.479996,190.020004,191.009995,168.398468,13195830
13-05-2016,191.210007,192.179993,188.820007,190.110001,167.605026,15825760
16-05-2016,190.589996,197.419998,189.039993,196.059998,172.850677,26057460
17-05-2016,197.740005,199.970001,193.539993,193.990005,171.025726,32223600
18-05-2016,193.279999,195.529999,192.570007,194.25,171.254944,14691410
19-05-2016,194.339996,197.399994,192.899994,193.380005,170.48793,15444495
20-05-2016,194.979996,196.300003,192.899994,195.539993,172.392227,13374215
23-05-2016,196.550003,197,194.899994,195.619995,172.462753,11301460
24-05-2016,195.009995,197.110001,194.229996,195.399994,172.268799,10828000
25-05-2016,197,199.839996,197,199.199997,175.618958,12132775
26-05-2016,200,205.199997,199.419998,204.210007,180.035904,16518240
27-05-2016,205,208.360001,203.600006,205.100006,180.820541,18491290
30-05-2016,204.880005,206.970001,204.259995,205.389999,190.357407,14618760
31-05-2016,205.399994,209.199997,203.979996,206.600006,191.478836,57458505
01-06-2016,206.300003,206.779999,201.110001,203.580002,188.679886,12213510
02-06-2016,202.850006,210.5,202.330002,209.809998,194.453903,14912165
03-06-2016,211,211.960007,208.419998,209.880005,194.518784,15162245
06-06-2016,210,213.800003,208.910004,212.940002,197.354813,16298060
07-06-2016,214.5,217.070007,212.419998,213.240005,197.632843,32603455
08-06-2016,213.100006,213.220001,208.979996,210.759995,195.334366,14662560
09-06-2016,210.759995,211.940002,207.330002,208.009995,192.785629,13298390
10-06-2016,208.520004,213.679993,208.119995,212.660004,197.095306,17476725
13-06-2016,211.589996,214.350006,210.479996,213.029999,197.438232,13488360
14-06-2016,213.020004,214.339996,211.509995,212.919998,197.336273,7728830
15-06-2016,213.710007,214.690002,211.419998,214.179993,198.504044,9095765
16-06-2016,213.199997,213.470001,209.490005,212.110001,196.585571,11322575
17-06-2016,213,215,212,214.169998,198.494781,10541745
20-06-2016,211.589996,215.800003,211.070007,215.050003,199.310364,7533270
21-06-2016,215.610001,216,213.270004,214.279999,198.596741,7588760
22-06-2016,215,216.320007,213.360001,215.770004,199.977692,10105465
23-06-2016,215.259995,223,215.259995,222.160004,205.899994,19308820
24-06-2016,212.449997,217.289993,208.399994,216.100006,200.283539,26805430
27-06-2016,214.089996,217.979996,213.990005,215.149994,199.403046,14452850
28-06-2016,216.580002,216.580002,212.490005,213.979996,198.318695,12291115
29-06-2016,215,216.759995,214,214.539993,198.837708,11630900
30-06-2016,216.380005,222,214.899994,221.419998,205.214157,16237150
01-07-2016,222.529999,226.800003,221.309998,225.940002,209.403336,12687335
04-07-2016,227,228,223,223.520004,207.160461,10167140
05-07-2016,223.779999,226.399994,222.600006,225.279999,208.791641,7817760
07-07-2016,226,226,222,222.419998,206.140961,8108555
08-07-2016,222.25,224.800003,221.320007,224.050003,207.651672,5656625
11-07-2016,226.399994,229.779999,226.220001,228.699997,211.961319,9376860
12-07-2016,228.399994,231.190002,227.619995,230.729996,213.842758,8146520
13-07-2016,230.539993,230.649994,227.600006,229.339996,212.554489,8914315
14-07-2016,229.600006,234.779999,229.080002,234.289993,217.142166,9619720
15-07-2016,234.399994,237.240005,232.110001,235.839996,218.578751,9389850
18-07-2016,235.020004,236.889999,234.059998,234.899994,217.707535,5684970
19-07-2016,234,234.190002,228.699997,230.669998,213.78714,10242095
20-07-2016,231.100006,233.75,229.619995,232.559998,215.538818,7295870
21-07-2016,232.399994,234,230.080002,230.929993,214.028107,5165295
22-07-2016,231,233.270004,229.860001,231.339996,214.408096,9143215
25-07-2016,230.009995,237.869995,229.550003,236.550003,219.236786,10202270
26-07-2016,236.600006,242.220001,235.429993,240.029999,222.462097,12171520
27-07-2016,241.179993,242.899994,235.220001,240.089996,222.517685,40172445
28-07-2016,241.389999,245.570007,240.529999,244.699997,226.790268,17546355
29-07-2016,245,247.199997,241.800003,243.389999,225.576172,12436060
01-08-2016,244.800003,247,240.710007,244.279999,226.401031,8392665
02-08-2016,245.199997,248.899994,244.570007,245.679993,227.698532,9455220
03-08-2016,246.600006,248.979996,243.529999,247.110001,229.023895,14034865
04-08-2016,248.100006,249.059998,244.009995,246.309998,228.28244,9219130
05-08-2016,247.960007,252.600006,246.899994,251.690002,233.268677,10681115
08-08-2016,253.630005,254,251.039993,253.050003,234.529129,6486035
09-08-2016,253.029999,253.169998,250.199997,251.970001,233.528183,8699890
10-08-2016,252.800003,254.369995,249.520004,253.479996,234.927658,12298940
11-08-2016,253,253,247.220001,250.5,232.165787,17711960
12-08-2016,250.800003,258.799988,250.600006,258.140015,239.246597,17444495
16-08-2016,259.790009,262.98999,257.980011,258.98999,240.034363,14094365
17-08-2016,260.200012,261.980011,257.059998,261.670013,242.518265,8196950
